ID,Town,HomePrice,lnHomePrice ,EDMathGrade4 ,EDReadingGrade4 ,AvgClassSize,PPE ,lnPPE,Preschool ,ResTaxRate ,RegionalDistrictElem ,RaceWhite ,RaceBlack ,EthnHispanicLatino ,RaceAsian ,RaceAmIndAlNative ,RaceHawaiiPI,RaceOther ,RaceTwoorMore,AgeUnder18 ,AgeOver65 ,BAPlus ,HSPlus ,Pop000s,HHIncome ,lnHHIncome,DistBoston ,DistBostonSq  
45,Georgetown,"459,000",13.03680549,56,73,15.5,"13,843.49",9.535570365,1,15.88,0,95.40,1.1,3.9,1,0.4,0,1.2,0.9,23.2,14.3,52.4,97.5,8.183,106016,11.57134531,30.1,906.01
46,Gloucester,"449,500",13.01589113,50,57,17.1,"16,450.67",9.708121485,1,12.93,0,94.50,1.6,2.3,1.7,0.1,0,0.7,1.3,16.8,22.4,39.2,90.9,28.789,63917,11.06534065,36.2,1310.44
47,Groton,"530,000",13.18063229,72,69,18.7,"15,078.55",9.621028483,1,18.67,1,91.60,0.20,1.70,4.70,0.10,0.00,0.10,3.30,23.8,13.9,66.2,97.2,11.364,116686,11.66724185,42.3,1789.29
48,Groveland - Pentucket ,"430,000",12.97154049,39,55,16.6,"15,194.44",9.62868485,1,14.69,1,98.00,0.9,4.9,0.2,0.3,0,0.3,0.3,20.5,17.1,44.6,96.2,6.459,96512,11.47742263,33.5,1122.25
49,Halifax,"349,900",12.76540268,56,51,21.5,"13,967.40",9.544481322,1,17.65,0,95.90,2.7,1.8,0.2,0,0,0.5,0.7,21.1,14.7,30.4,96,7.518,73119,11.19984353,32.1,1030.41
50,Hamilton,"602,450",13.30875995,59,76,17.8,"17,513.18",9.770709019,1,16.22,1,93.30,0.2,1.3,5.1,0,0.1,0.3,1,26.2,14.3,67.5,98.1,7.764,114907,11.65187838,28.8,829.44
51,Hanover,"555,000",13.22672339,66,67,19.1,"13,968.83",9.544583698,1,16.28,0,97.10,0.8,0.3,0.9,0,0,0.7,0.6,26.4,16.7,49,96.1,13.879,105635,11.56774503,24,576
52,Hanson - Whitman Hanson,"372,000",12.82664913,48,65,21.3,"12,749.65",9.453259099,1,15.83,1,95.50,0.8,1.5,1.7,0,0,0.5,1.6,18.6,16.1,32.2,95.2,10.209,93517,11.44589852,27.1,734.41
53,Harvard,"627,500",13.34949895,70,76,16.8,"17,791.46",9.786473846,1,17.15,0,84.80,6.4,6.5,3.7,0.6,0,1.8,2.6,22.4,16.4,63.2,97.7,6.569,131563,11.7872411,40.2,1616.04
54,Haverhill,"338,000",12.73080117,32,38,18.3,"12,931.57",9.467426887,1,14.26,0,82.50,3.2,20.3,1.4,0.1,0,8.8,4,23.0,12.7,29.9,89.6,60.879,62751,11.04692979,36.4,1324.96
55,Hingham,"820,000",13.61705962,78,76,18.6,"13,506.24",9.51090708,1,11.77,0,99.80,0.2,0.7,0,0,0,0,0,29.2,13.4,74.8,98.3,22.157,118148,11.67969335,16.5,272.25
56,Holbrook,"339,900",12.73640674,47,62,18.1,"15,915.82",9.675068862,1,20.67,0,79.60,12.3,5.2,4.5,0,0,2,1.7,19.1,16.8,26,95.2,10.791,67508,11.12000139,17.9,320.41
57,Holliston,"485,000",13.09190417,36,56,16.7,"13,651.88",9.52163252,1,18.67,0,91.80,1.3,4,4.4,0,0,0.5,2,25.6,14.6,65.9,97.3,13.547,110295,11.61091387,29.6,876.16
58,Hopkinton,"675,000",13.42246797,74,81,19.6,"14,919.48",9.610423021,1,16.9,0,91.20,1.2,5.5,3.9,0,0,0.4,3.3,26.9,11,68.6,96.7,14.925,143190,11.8719277,31.9,1017.61
59,Hudson,"378,000",12.84264947,53,57,17.2,"16,681.67",9.722065791,1,17.5,0,92.60,1.4,7.6,2.5,0,0,0.8,2.7,18.5,18.7,38.6,89.5,19.063,80574,11.2969313,33.1,1095.61
60,Hull,"415,000",12.9360338,36,40,14.2,"20,076.85",9.907322689,1,13.42,0,96.20,0.5,2.3,1.2,0.1,0,0.3,1.8,13.3,23.3,44.9,96.4,10.293,78114,11.26592458,23.7,561.69
61,Ipswich,"540,250",13.19978727,66,65,16.9,"16,992.80",9.740545004,1,14.24,0,95.80,1.2,3.4,1.2,0,0,1,0.8,20.6,21.4,53.3,96.7,13.175,77788,11.26174246,29.9,894.01
62,Kingston,"430,000",12.97154049,56,52,20.7,"15,876.39",9.672588379,1,16.45,0,96.10,1.1,1.9,0.4,0,0,0.6,1.9,21.6,15.6,42.6,96.3,12.629,88694,11.39294752,37.9,1436.41
63,Lakeville - Freetown Lakeville,"373,000",12.8293337,68,64,19.3,"13,719.62",9.526582204,1,13.59,1,96.30,0.4,2.5,0.7,0,0,0.5,2,21.1,14.8,38.5,94.4,11.424,84218,11.34116395,41.7,1738.89
64,Lawrence,"280,000",12.54254488,31,30,19.6,"14,781.73",9.601147238,1,14.32,0,33.00,4.5,81.7,2.6,0.2,0,58.6,1.1,27.2,9.7,10.5,66.8,76.377,36754,10.51200234,28.7,823.69
65,Lexington,"1,150,000",13.9552725,77,77,20.0,"18,288.83",9.81404577,1,14.3,0,65.40,1,2,29.3,0.2,0,0.9,3.3,26.5,19.2,82.3,98.3,31.934,152872,11.93735625,13.7,187.69
66,Lincoln,"1,250,000",14.03865411,61,52,15.9,"22,743.21",10.03202192,1,13.6,0,84.00,2.6,6.9,8.6,0,0,1,3.8,26.0,19.6,74.7,98.6,6.362,130870,11.78195974,24.5,600.25
67,Littleton,"570,250",13.25383014,47,64,18.1,"15,127.03",9.624238489,1,18.14,0,89.40,0.4,1.1,6.1,0.1,0,0,4,23.3,14.5,54.6,97.5,8.924,108704,11.59638387,36.2,1310.44
68,Lowell,"300,000",12.61153775,37,42,19.5,"14,354.00",9.571783928,1,14.39,0,60.20,10.4,18.5,21.7,1.2,0,3,3.6,21.8,10.6,23,80.1,106.519,46972,10.75730696,27.5,756.25
69,Lynn,"350,000",12.76568843,33,33,20.6,"13,632.27",9.520195055,1,15.15,0,56.70,17.9,49.20,6.5,0,0,23.6,,24.1,11.7,18.5,78,90.329,50774,10.83513969,11.5,132.25
70,Lynnfield,"665,000",13.40754232,83,83,15.1,"15,205.89",9.629438132,1,13.76,0,91.30,1.7,2.3,4.9,0,0,0,2.1,24.6,18.8,57.5,97.7,11.596,117250,11.67206369,16,256
71,Malden,"492,000",13.106234,41,49,20.2,"14,379.01",9.573524783,1,14.09,0,54.00,16.8,9.3,23.4,0,0,2.6,3.2,19.1,12.2,36.3,86.5,59.45,60085,11.00351551,5.5,30.25
72,Manchester,"924,000",13.73646735,71,77,15.9,"17,448.42",9.767004379,1,11.03,1,99.00,0,1.6,0.6,0,0,0,0.4,22.6,23.1,65.5,97.1,5.136,92604,11.43608762,30.9,954.81
73,Mansfield,"450,000",13.01700286,46,63,18.4,"15,503.60",9.648827534,1,15.57,0,89.20,3.2,4.2,5.1,0.2,0,0.5,1.7,21.1,12.9,49.7,98,23.184,102090,11.53361006,32.3,1043.29
74,Marblehead,"689,500",13.44372198,64,66,17.8,"15,567.62",9.652948395,1,11.02,0,95.60,1.5,4.6,1.5,0,0,0.5,0.8,23.5,22.4,70.6,97.8,19.808,103148,11.54392013,17.3,299.29
75,Marlborough,"391,000",12.87646284,50,43,20.1,"16,739.81",9.725544994,1,14.63,0,78.90,3,14,5.9,0.1,0.1,7.3,4.6,19.9,14.1,40.5,92.8,38.499,72222,11.18749999,31.5,992.25
76,Marshfield,"450,000",13.01700286,65,78,18.6,"13,301.05",9.495598258,1,13.37,0,95.40,0.6,1.8,0.6,0.2,0.1,1.8,1.4,22.7,16.6,45,95.6,25.132,85918,11.36114863,30.8,948.64
77,Maynard,"382,100",12.85343763,34,55,17.7,"15,578.44",9.653643186,1,22.64,0,91.00,1.5,2.9,2.8,0,0,2.8,1.9,20.8,16,52.4,95.7,10.106,90134,11.40905273,27.4,750.76
78,Medfield,"651,000",13.38626492,70,72,18.7,"15,204.54",9.629349346,1,17.03,0,91.70,1.6,1.1,5.5,0,0,0,1.2,28.1,14.4,68.4,97.6,12.024,147630,11.90246442,25.5,650.25
79,Medford,"617,000",13.3326243,38,54,15.2,"16,930.61",9.736878505,1,10.24,0,75.00,9.4,5.3,10.6,0.1,0.1,1.6,3.2,14.5,14.5,52.8,92.6,56.173,79607,11.28485731,5.6,31.36
80,Medway,"449,000",13.01477817,66,63,18.5,"14,326.23",9.569847402,1,17.66,0,92.30,2.9,1.2,3,0,0,0.3,1.5,24.8,13.3,58.3,95.3,12.752,109865,11.60700762,38.5,1482.25
81,Melrose,"650,000",13.38472764,66,72,20.0,"12,174.88",9.407130092,1,11.33,0,88.90,2.6,3.7,5.9,0,0,0.5,2,20.7,16.3,58.4,95.3,26.983,87712,11.381814,9.2,84.64
82,Merrimac - Pentucket,"410,000",12.92391244,39,55,16.6,"15,194.44",9.62868485,1,15.76,1,97.10,0.1,3.9,0.9,0,0,1.3,0.5,21.0,19.5,47,94.7,6.338,77481,11.25778802,43.5,1892.25
83,Middleborough,"324,950",12.6914266,53,43,19.8,"14,717.61",9.596800015,1,15.6,0,94.00,1.8,2.5,0.5,0.1,0.2,1.2,2.2,22.0,13.7,27.2,94.3,23.116,76961,11.25105408,40.9,1672.81
84,Middleton,"627,500",13.34949895,56,68,14.5,"16,518.58",9.712241087,1,13.96,0,92.00,1.5,6.7,1.5,0.1,0,1.4,3.5,19.7,18.9,37.7,92.3,8.987,106326,11.57426513,20.6,424.36
85,Milford,"349,450",12.76411577,41,37,18.7,"14,088.90",9.553142532,1,16.56,0,82.90,1.6,15,2.8,0.1,0.1,10.7,1.8,23.9,14.5,35.2,89.4,27.999,72750,11.19478419,40.2,1616.04
86,Millis,"420,000",12.94800999,59,68,17.2,"14,742.78",9.59850875,1,18.02,0,94.10,2.1,4.7,1.4,0,0,2.5,0,22.2,17.3,54.2,97.3,7.891,97591,11.48854056,32.7,1069.29
87,Milton,"707,500",13.46949291,74,67,18.8,"14,854.75",9.606074958,1,13.81,0,74.10,15,3.2,6.5,0.2,0,1,3.3,24.8,16,61,95.2,27.003,122516,11.71599691,10.1,102.01
88,Nahant,"580,000",13.27078338,42,38,17.6,"15,633.74",9.657186678,1,10.25,0,95.70,1,1.6,1.4,0,0,0.9,0.9,18.6,19.4,56,97,3.41,72625,11.19306449,13.7,187.69
89,Natick,"625,000",13.34550693,54,64,19.0,"15,469.20",9.646606229,1,13.05,0,81.80,1.7,4.1,13.2,0.1,0,1.4,1.8,24.1,15.4,68.2,97.2,33.006,104372,11.55571672,19.9,396.01
