ID,Town,HomePrice,lnHomePrice ,EDMathGrade4 ,EDReadingGrade4 ,AvgClassSize,PPE ,lnPPE,Preschool ,ResTaxRate ,RegionalDistrictElem ,RaceWhite ,RaceBlack ,EthnHispanicLatino ,RaceAsian ,RaceAmIndAlNative ,RaceHawaiiPI,RaceOther ,RaceTwoorMore,AgeUnder18 ,AgeOver65 ,BAPlus ,HSPlus ,Pop000s,HHIncome ,lnHHIncome,DistBoston ,DistBostonSq  
116,Salisbury - Triton,"409,000",12.92147044,48,59,18.5,"16,322.89",9.700323696,1,11.78,1,98.50,0,3.7,0,0,0.4,0,1.1,17.7,19.8,35.5,92,8.283,65347,11.08746681,41,1681
117,Saugus,"445,000",13.00582956,48,50,17.2,"15,820.53",9.669063743,1,11.58,0,89.70,3.1,6,5,0.5,0,0.8,1,17.8,20.6,28.2,92.1,26.628,78372,11.269222,10.7,114.49
118,Scituate,"589,500",13.28703,72,83,19.1,"15,286.67",9.634736486,1,13.95,0,97.40,0.6,0.3,0,0,0,1.6,0.4,22.8,23.5,43.8,94.2,18.133,107807,11.58809787,26.6,707.56
119,Sharon,"530,000",13.18063229,75,76,18.1,"16,253.49",9.696062934,1,19.37,0,87.30,1,0.8,9,0.1,0,1.2,1.3,28.5,12.2,73,98.1,17.612,127500,11.75587164,24.5,600.25
120,Sherborn,"844,000",13.64590777,80,74,18.7,"18,468.53",9.823823482,1,19.3,0,91.40,0.5,3.9,4.9,0,0,0.5,2.8,31.9,11.3,83,99,4.119,158250,11.97193134,22.1,488.41
121,Shirley - Ayer-Shirley,"378,500",12.84397135,41,55,19.2,"14,659.54",9.592846597,1,16.42,1,75.30,6.90,11.20,5.30,0.00,0.20,6.60,5.70,13.5,14.4,25.9,87.3,7.672,57659,10.96230163,44.9,2016.01
122,Somerville,"795,000",13.58609739,46,49,15.4,"19,400.16",9.873036592,1,11.31,0,74.10,6.2,11.4,9.2,0.3,0,3.5,6.7,11.4,9.1,64,90.9,75.754,78673,11.2730553,3.9,15.21
123,Southborough,"630,000",13.3534751,79,80,16.8,"18,737.74",9.838294951,1,16.14,0,83.00,1.6,3,13,0,0,1,1.3,26.7,13.9,65.9,96.8,9.767,145455,11.88762204,28.7,823.69
124,Stoneham,"560,000",13.23569206,54,54,17.5,"15,520.34",9.649906701,1,11.71,0,92.10,2.7,3.7,3.3,0,0,1.1,0.8,17.7,20,44.6,94.2,21.437,83783,11.3359854,10.2,104.04
125,Stoughton,"380,000",12.84792653,50,62,17.2,"15,702.58",9.661580309,1,14.81,0,74.50,14.4,4.2,4.3,0.7,0,2.7,3.5,19.2,18.4,37.2,90.8,26.962,75109,11.22669567,20.4,416.16
126,Stow - Nashoba Regional,"566,250",13.24679096,70,79,18.2,"15,566.02",9.652845612,1,20.98,1,91.80,0,2.8,3.9,0,0,2.3,1.9,25.8,16.7,68.1,99.3,6.59,146799,11.89681958,30.2,912.04
127,Sudbury,"749,950",13.52776182,82,75,20.0,"15,605.92",9.655405608,1,17.93,0,84.50,0.9,2.2,10.8,0,0,0.7,3,29.0,15.7,78.7,98.9,17.659,164013,12.00770097,23.5,552.25
128,Swampscott,"580,000",13.27078338,57,75,16.2,"17,215.79",9.753582265,1,16,0,95.20,0.9,3.3,0.7,0,0,0.5,2.8,23.3,18.9,56.6,96.9,13.787,103244,11.5448504,12.2,148.84
129,Taunton,"313,000",12.65395847,44,42,19.8,"13,727.17",9.52713236,1,15.72,0,82.20,8.6,7.9,1.4,0,0,4.2,3.5,22.3,15.2,21.6,84.3,55.874,54785,10.91117171,38.9,1513.21
130,Tewksbury,"439,000",12.99225469,39,50,20.0,"16,331.72",9.700864508,1,16.13,0,92.20,1.9,1.6,3.4,0.1,0,0.7,1.7,19.4,17.6,35.5,94.7,28.961,92897,11.43924663,24.1,580.81
131,Topsfield,"597,500",13.30050956,57,58,16.9,"16,896.58",9.734866514,1,17.36,0,100.00,0,2.1,0,0,0,0,0,26.4,22.8,60.7,97.3,6.085,128283,11.76199404,23.4,547.56
132,Townsend - N Middlesex,"303,500",12.62313689,46,61,19.3,"15,323.84",9.637165065,1,20.26,1,95.70,0.40,3.10,1.20,0.00,0.00,1.60,1.20,23.3,14.8,34.8,94.9,9.522,73831,11.20953398,50.3,2530.09
133,Tyngsborough,"430,000",12.97154049,43,65,17.9,"14,620.10",9.590152573,1,17.11,0,87.70,1.10,3.30,7.50,0.20,0.00,0.60,3.00,20.2,11.2,47.9,95,12.357,93108,11.44151539,36.7,1346.89
134,Wakefield,"555,000",13.22672339,62,64,18.4,"14,986.21",9.614885724,1,12.95,0,93.00,1.4,4.7,2.2,0,0,1.9,1.4,19.2,18.6,51.4,93.2,24.932,90911,11.41763628,12.5,156.25
135,Walpole,"545,000",13.20854107,64,72,19.4,"15,049.44",9.61909606,1,15.27,0,87.50,1.6,8.9,4.3,0,0,5.7,0.9,24.8,19.8,44.8,92.8,24.07,99102,11.5039049,26,676
136,Waltham,"607,500",13.31710745,42,45,16.2,"20,619.70",9.934002208,1,12.61,0,72.30,7.7,13.5,11.4,0.3,0,5,3.3,14.6,13.7,52.8,92.2,60.632,82188,11.31676458,11.9,141.61
137,Watertown,"670,000",13.41503299,49,52,16.5,"21,148.05",9.959302982,1,13.47,0,83.60,2,9.7,8.5,0.3,0,3.4,2.1,15.4,15.9,63.9,94.8,31.915,92050,11.43008719,10,100
138,Wayland,"787,000",13.57598353,74,70,17.3,"18,470.37",9.823923105,0,18.03,0,84.70,0.6,4,11.4,0,0.4,0.5,2.5,26.3,18,83,98.4,12.994,157500,11.96718074,20.2,408.04
139,Wellesley,"1,437,500",14.17841605,68,79,17.5,"19,823.37",9.894616824,1,11.95,0,81.10,3,4.8,11.9,0.1,0.1,0.8,3,25.9,14.7,83.4,98.1,27.982,171719,12.0536147,15.8,249.64
140,Wenham - Hamilton Wenham,"699,900",13.45869275,59,76,17.8,"17,513.18",9.770709019,1,18.79,1,92.20,2.1,5.2,3.7,0,0,0.7,1.2,16.8,15.7,67.2,98.6,4.875,99375,11.50665585,24.8,615.04
141,West Bridgewater,"369,000",12.81855192,40,60,18.6,"12,774.95",9.455241501,1,17.1,0,94.10,3.1,4.8,0.1,0,0,1,1.7,21.3,18.1,35.2,94.7,6.916,80709,11.29860537,29.5,870.25
